episode,steps,return
607,63,-87.0
608,18,-6.0
609,10,2.0
610,60,-57.0
611,7,14.0
612,109,-151.0
613,31,-46.0
614,73,-97.0
615,13,-10.0
616,40,-46.0
617,33,-48.0
618,56,-62.0
619,78,-93.0
620,89,-77.0
621,54,-105.0
622,78,-120.0
623,138,-198.0
624,70,-94.0
625,20,-8.0
626,164,-251.0
627,78,-129.0
628,155,-251.0
629,71,-113.0
630,13,8.0
631,26,-5.0
632,194,-326.0
633,39,-54.0
634,25,-13.0
635,168,-309.0
636,46,-34.0
637,76,-109.0
638,38,-26.0
639,36,-42.0
640,49,-100.0
641,31,-28.0
642,37,-61.0
643,85,-100.0
644,14,-2.0
645,45,-51.0
646,196,-238.0
647,56,-98.0
648,14,7.0
649,35,-32.0
650,24,-21.0
651,24,-21.0
652,46,-70.0
653,16,-4.0
654,27,-6.0
655,114,-174.0
656,30,-36.0
657,72,-123.0
658,11,10.0
659,16,5.0
660,61,-85.0
661,34,-49.0
662,15,-12.0
663,53,-59.0
664,95,-128.0
665,51,-57.0
666,14,7.0
667,97,-130.0
668,42,-48.0
669,152,-203.0
670,37,-43.0
671,9,12.0
672,11,10.0
673,106,-148.0
674,15,6.0
675,92,-143.0
676,20,-17.0
677,106,-130.0
678,16,-22.0
679,35,-50.0
680,47,-35.0
681,16,5.0
682,131,-146.0
683,101,-134.0
684,47,-89.0
685,136,-178.0
686,74,-80.0
687,113,-164.0
688,24,-30.0
689,25,-4.0
690,7,14.0
691,38,-35.0
692,77,-110.0
693,74,-98.0
694,136,-205.0
695,41,-20.0
696,127,-169.0
697,41,-56.0
698,78,-120.0
699,28,-25.0
700,45,-51.0
701,8,13.0
702,12,9.0
703,30,-27.0
704,61,-94.0
705,39,-54.0
706,16,5.0
707,51,-57.0
708,15,6.0
709,14,-11.0
710,60,-66.0
711,18,-6.0
712,9,12.0
713,10,11.0
714,25,-22.0
715,16,5.0
716,50,-29.0
717,14,-11.0
718,42,-48.0
719,141,-210.0
720,15,-3.0
721,83,-125.0
722,46,-34.0
723,11,-8.0
724,11,10.0
725,40,-28.0
726,80,-131.0
727,17,-5.0
728,95,-146.0
729,20,-8.0
730,51,-84.0
731,22,-10.0
732,85,-118.0
733,30,-27.0
734,41,-47.0
735,12,9.0
736,13,-1.0
737,16,-4.0
738,54,-60.0
739,37,-61.0
740,59,-56.0
741,11,1.0
742,73,-124.0
743,28,-16.0
744,58,-73.0
745,35,-32.0
746,24,-12.0
747,44,-41.0
748,35,-41.0
749,32,-56.0
750,102,-117.0
751,19,-7.0
752,44,-95.0
753,27,-15.0
754,82,-97.0
755,17,-14.0
756,33,-21.0
757,12,9.0
758,8,13.0
759,10,11.0
760,95,-137.0
761,26,-32.0
762,65,-116.0
763,51,-66.0
764,46,-43.0
765,37,-43.0
766,21,-9.0
767,45,-69.0
768,9,12.0
769,16,-4.0
770,87,-120.0
771,23,-20.0
772,133,-193.0
773,102,-126.0
774,130,-163.0
775,152,-239.0
776,46,-34.0
777,33,-30.0
778,56,-71.0
779,33,-30.0
780,26,-5.0
781,38,-17.0
782,97,-139.0
783,8,13.0
784,66,-81.0
785,55,-52.0
786,65,-89.0
787,16,-4.0
788,25,-22.0
789,64,-97.0
790,26,-32.0
791,50,-65.0
792,28,-16.0
793,14,-2.0
794,67,-100.0
795,22,-1.0
796,14,-2.0
797,44,-32.0
798,34,-22.0
799,10,11.0
800,23,-2.0
801,97,-94.0
802,24,-3.0
803,19,2.0
804,66,-81.0
805,12,0.0
806,36,-15.0
807,10,11.0
808,32,-38.0
809,66,-63.0
810,42,-39.0
811,14,7.0
812,17,4.0
813,28,-25.0
814,32,-56.0
815,16,-4.0
816,11,10.0
817,21,-27.0
818,50,-83.0
819,8,4.0
820,13,8.0
821,116,-176.0
822,12,9.0
823,22,-1.0
824,21,-27.0
825,40,-55.0
826,86,-128.0
827,7,14.0
828,91,-115.0
829,12,9.0
830,116,-140.0
831,25,-31.0
832,11,10.0
833,27,-24.0
834,158,-218.0
835,32,-20.0
836,14,7.0
837,43,-67.0
838,39,-45.0
839,21,0.0
840,14,7.0
841,24,-21.0
842,10,11.0
843,72,-114.0
844,14,7.0
845,16,-4.0
846,11,10.0
847,106,-121.0
848,27,-24.0
849,47,-35.0
850,101,-197.0
851,19,-7.0
852,21,0.0
853,33,-30.0
854,43,-58.0
855,12,9.0
856,45,-24.0
857,96,-147.0
858,54,-69.0
859,36,-24.0
860,38,-62.0
861,85,-127.0
862,39,-45.0
863,89,-140.0
864,19,-16.0
865,96,-147.0
866,13,-28.0
867,15,6.0
868,12,0.0
869,140,-290.0
870,35,-41.0
871,29,-17.0
872,32,-29.0
873,25,-22.0
874,8,13.0
875,32,-29.0
876,10,11.0
877,97,-130.0
878,24,-21.0
879,30,-36.0
880,15,6.0
881,13,8.0
882,9,3.0
883,15,-3.0
884,71,-77.0
885,46,-88.0
886,50,-74.0
887,66,-54.0
888,16,-4.0
889,18,-15.0
890,49,-82.0
891,15,-12.0
892,47,-62.0
893,12,9.0
894,29,-26.0
895,16,-13.0
896,29,-17.0
897,69,-66.0
898,25,-4.0
899,26,-14.0
900,11,10.0
901,53,-86.0
902,11,10.0
903,22,-1.0
904,82,-133.0
905,10,2.0
906,12,9.0
907,57,-81.0
908,22,-10.0
909,15,-12.0
910,19,-7.0
911,31,-55.0
912,32,-20.0
913,15,-3.0
914,13,8.0
915,13,8.0
916,19,-16.0
917,25,-22.0
918,23,-11.0
919,25,-22.0
920,24,-12.0
921,16,-22.0
922,19,-25.0
923,106,-130.0
924,30,-27.0
925,18,-15.0
926,16,-13.0
927,37,-43.0
928,48,-45.0
929,35,-59.0
930,77,-110.0
931,19,-16.0
932,47,-44.0
933,9,12.0
934,21,-9.0
935,42,-66.0
936,60,-93.0
937,14,7.0
938,11,10.0
939,85,-109.0
940,9,12.0
941,37,-52.0
942,12,9.0
943,19,-16.0
944,27,-15.0
945,17,-5.0
946,38,-53.0
947,19,-43.0
948,11,10.0
949,13,8.0
950,12,9.0
951,68,-65.0
952,9,3.0
953,13,-1.0
954,19,2.0
955,61,-85.0
956,31,-55.0
957,37,-25.0
958,36,-33.0
959,28,-7.0
960,11,1.0
961,25,-40.0
962,26,-32.0
963,17,4.0
964,60,-84.0
965,38,-80.0
966,32,-38.0
967,35,-23.0
968,19,2.0
969,13,8.0
970,73,-106.0
971,81,-132.0
972,27,-15.0
973,44,-41.0
974,9,12.0
975,63,-60.0
976,35,-41.0
977,11,10.0
978,44,-95.0
979,99,-114.0
980,19,-16.0
981,43,-58.0
982,13,-10.0
983,85,-109.0
984,14,7.0
985,11,10.0
986,30,-27.0
987,96,-120.0
988,64,-97.0
989,21,0.0
990,37,-43.0
991,26,-14.0
992,11,1.0
993,18,-6.0
994,57,-54.0
995,58,-64.0
996,8,13.0
997,14,7.0
998,16,-4.0
999,16,-4.0
1000,29,-17.0
1001,17,-14.0
1002,92,-107.0
1003,83,-116.0
1004,34,-22.0
1005,58,-64.0
1006,15,-12.0
1007,22,-28.0
1008,11,-8.0
1009,22,-1.0
1010,8,13.0
1011,17,4.0
1012,48,-54.0
1013,31,-19.0
1014,15,-21.0
1015,75,-108.0
1016,11,10.0
