episode,steps,return
748,14,7.0
749,52,-31.0
750,96,-102.0
751,20,-8.0
752,16,-4.0
753,16,5.0
754,81,-78.0
755,13,8.0
756,36,-33.0
757,11,10.0
758,9,12.0
759,11,1.0
760,101,-116.0
761,16,-13.0
762,26,-14.0
763,58,-46.0
764,23,-2.0
765,16,-4.0
766,18,-6.0
767,45,-42.0
768,10,2.0
769,11,10.0
770,107,-140.0
771,18,3.0
772,93,-144.0
773,64,-52.0
774,116,-122.0
775,97,-139.0
776,28,-7.0
777,46,-34.0
778,53,-41.0
779,69,-75.0
780,13,8.0
781,56,-44.0
782,113,-146.0
783,8,13.0
784,23,-2.0
785,83,-80.0
786,79,-112.0
787,19,2.0
788,28,-16.0
789,80,-95.0
790,44,-32.0
791,28,-16.0
792,26,-5.0
793,25,-13.0
794,16,5.0
795,30,-18.0
796,11,10.0
797,39,-27.0
798,56,-62.0
799,10,11.0
800,23,-11.0
801,98,-122.0
802,27,-15.0
803,23,-2.0
804,50,-47.0
805,12,9.0
806,17,-5.0
807,10,11.0
808,55,-43.0
809,44,-41.0
810,23,-2.0
811,15,6.0
812,36,-24.0
813,50,-56.0
814,29,-17.0
815,13,8.0
816,9,12.0
817,22,-1.0
818,33,-30.0
819,9,12.0
820,14,7.0
821,63,-60.0
822,11,10.0
823,35,-41.0
824,97,-103.0
825,32,-20.0
826,54,-51.0
827,6,15.0
828,81,-87.0
829,13,-10.0
830,63,-87.0
831,33,-12.0
832,10,11.0
833,26,-14.0
834,24,-12.0
835,31,-28.0
836,15,6.0
837,51,-30.0
838,47,-44.0
839,13,8.0
840,14,-2.0
841,14,7.0
842,11,10.0
843,78,-75.0
844,31,-10.0
845,11,10.0
846,14,7.0
847,63,-51.0
848,42,-30.0
849,22,-10.0
850,90,-105.0
851,15,6.0
852,18,3.0
853,26,-14.0
854,44,-23.0
855,14,7.0
856,53,-50.0
857,43,-40.0
858,59,-74.0
859,86,-137.0
860,44,-68.0
861,117,-141.0
862,51,-39.0
863,64,-61.0
864,16,-4.0
865,63,-60.0
866,9,-6.0
867,11,1.0
868,12,9.0
869,95,-119.0
870,57,-54.0
871,19,-7.0
872,54,-51.0
873,14,7.0
874,9,3.0
875,19,-7.0
876,13,-1.0
877,61,-58.0
878,21,0.0
879,16,5.0
880,14,7.0
881,12,0.0
882,7,14.0
883,18,3.0
884,77,-56.0
885,49,-46.0
886,57,-54.0
887,64,-61.0
888,13,8.0
889,15,6.0
890,29,-8.0
891,10,11.0
892,50,-74.0
893,18,-6.0
894,11,10.0
895,15,6.0
